SUMLEV,Geo,ERENOV_V17,ERENOV_V18,ERENOV_V19,ERENOV_V20,ERENOV_V21,ERENOV_V22,ERENOV_V23,ERENOV_V24
SL010,34,2357038.585,1040265,303.665,883620,229402.92,66295,,137152
SL030,3404,2538.8,2534,4.8,,,,,
SL030,3407,261397,47558,65,146130,44402,4200,,19042
SL030,3416,79458.1,51290,11.1,,25949,2208,,
SL030,3414,62586,50006,,5280,5246,2054,,
SL030,3409,393827.525,198420,72.525,66480,67971,2354,,58530
SL030,3401,415880,228386,100,69060,37903,43431,,37000
SL030,3417,33978.92,9455,,24420,103.92,,,
SL030,3415,72339,11829,,45540,14970,,,
SL030,3412,407299,68461,,314860,23978,,,
SL030,3406,61138,53000,20,5940,270,1908,,
SL030,3410,146901,118341,,2640,,3340,,22580
SL030,3403,9236.8,2020,4.8,,1712,5500,,
SL030,3405,40512.44,8364,25.44,31660,463,,,
SL030,3402,176186,111747,,58090,6349,,,
SL030,3408,182533,68927,,113520,86,,,
SL030,3413,3904,3904,,,,,,
SL030,3411,7323,6023,,,,1300,,
SL040,340407,2538.8,2534,4.8,,,,,
SL040,340737,5360,2006,,,3354,,,
SL040,341620,19650,2397,,,15045,2208,,
SL040,341430,62586,50006,,5280,5246,2054,,
SL040,340925,106659,56987,,,35032,,,14640
SL040,340121,130296,84746,100,,4500,40950,,
SL040,340111,143599,45630,,55860,4640,469,,37000
SL040,340749,1135,,65,,1070,,,
SL040,340917,30190,12204,,,17986,,,
SL040,340908,131546.525,70277,72.525,,14953,2354,,43890
SL040,340709,34595,29829,,,4766,,,
SL040,340740,17310,,,14520,2790,,,
SL040,341648,37363,33247,,,4116,,,
SL040,340724,16030,5500,,,10530,,,
SL040,341726,33978.92,9455,,24420,103.92,,,
SL040,341531,72339,11829,,45540,14970,,,
SL040,340118,38363,30940,,,7423,,,
SL040,341227,162915,6163,,156640,112,,,
SL040,340639,61138,53000,20,5940,270,1908,,
SL040,341046,46919,44279,,2640,,,,
SL040,340333,9236.8,2020,4.8,,1712,5500,,
SL040,341012,77151,54571,,,,,,22580
SL040,340538,32348.44,2200,25.44,29660,463,,,
SL040,340123,59919,44679,,,15240,,,
SL040,341236,20751,13171,,,7580,,,
SL040,341215,211703,42627,,158220,10856,,,
SL040,340742,100203,,,76170,3499,4200,,16334
SL040,341601,22445.1,15646,11.1,,6788,,,
SL040,340705,67667,,,55440,12227,,,
SL040,340747,18033,10223,,,5102,,,2708
SL040,340943,125432,58952,,66480,,,,
SL040,340222,45126,41777,,,3349,,,
SL040,340250,128128,67038,,58090,3000,,,
SL040,340819,19174,19088,,,86,,,
SL040,341232,11930,6500,,,5430,,,
SL040,340845,11169,11169,,,,,,
SL040,340104,14510,1310,,13200,,,,
SL040,341003,22831,19491,,,,3340,,
SL040,340734,1064,,,,1064,,,
SL040,340535,8164,6164,,2000,,,,
SL040,340802,127440,13920,,113520,,,,
SL040,341328,3904,3904,,,,,,
SL040,340244,2932,2932,,,,,,
SL040,340129,5200,,,,5200,,,
SL040,340141,14781,11869,,,900,2012,,
SL040,340813,24750,24750,,,,,,
SL040,340114,9212,9212,,,,,,
SL040,341106,7323,6023,,,,1300,,
SL050,34010404016,1310,1310,,,,,,
SL050,34010404041,13200,,,13200,,,,
SL050,34011111010,4640,,,,4640,,,
SL050,34011111020,9099,8630,,,,469,,
SL050,34011111033,74000,37000,,,,,,37000
SL050,34011111035,55860,,,55860,,,,
SL050,34011414018,4464,4464,,,,,,
SL050,34011414048,4748,4748,,,,,,
SL050,34011818020,2400,,,,2400,,,
SL050,34011818022,945,,,,945,,,
SL050,34011818023,1640,1640,,,,,,
SL050,34011818030,502,,,,502,,,
SL050,34011818047,873,,,,873,,,
SL050,34011818087,2400,,,,2400,,,
SL050,34011818108,150,,,,150,,,
SL050,34011818122,880,880,,,,,,
SL050,34011818127,800,800,,,,,,
SL050,34011818132,153,,,,153,,,
SL050,34011818140,2560,2560,,,,,,
SL050,34011818158,24560,24560,,,,,,
SL050,34011818905,500,500,,,,,,
SL050,34012121035,100,,100,,,,,
SL050,34012121037,4500,,,,4500,,,
SL050,34012121041,32410,32410,,,,,,
SL050,34012121043,1600,1600,,,,,,
SL050,34012121044,800,800,,,,,,
