SUMLEV,Geo,ERENOV_V17,ERENOV_V18,ERENOV_V19,ERENOV_V20,ERENOV_V21,ERENOV_V22,ERENOV_V23,ERENOV_V24
SL050,34012121064,90886,49936,,,,40950,,
SL050,34012323005,21792,21792,,,,,,
SL050,34012323010,1887,1887,,,,,,
SL050,34012323011,1920,,,,1920,,,
SL050,34012323024,1800,,,,1800,,,
SL050,34012323050,1440,,,,1440,,,
SL050,34012323055,2560,,,,2560,,,
SL050,34012323092,7520,,,,7520,,,
SL050,34012323094,21000,21000,,,,,,
SL050,34012929032,5200,,,,5200,,,
SL050,34014141004,2012,,,,,2012,,
SL050,34014141038,4885,4885,,,,,,
SL050,34014141056,6984,6984,,,,,,
SL050,34014141073,900,,,,900,,,
SL050,34022222017,3492,3492,,,,,,
SL050,34022222082,14365,14365,,,,,,
SL050,34022222115,23920,23920,,,,,,
SL050,34022222124,893,,,,893,,,
SL050,34022222128,1145,,,,1145,,,
SL050,34022222181,1311,,,,1311,,,
SL050,34024444068,978,978,,,,,,
SL050,34024444216,1954,1954,,,,,,
SL050,34025050059,3450,3450,,,,,,
SL050,34025050152,6250,,,6250,,,,
SL050,34025050165,2500,2500,,,,,,
SL050,34025050181,16200,,,16200,,,,
SL050,34025050222,3000,,,,3000,,,
SL050,34025050252,35640,,,35640,,,,
SL050,34025050296,5330,5330,,,,,,
SL050,34025050297,55758,55758,,,,,,
SL050,34033333011,962,,,,962,,,
SL050,34033333019,4.8,,4.8,,,,,
SL050,34033333024,5500,,,,,5500,,
SL050,34033333044,2770,2020,,,750,,,
SL050,34040707022,2534,2534,,,,,,
SL050,34040707055,4.8,,4.8,,,,,
SL050,34053535016,6164,6164,,,,,,
SL050,34053535022,2000,,,2000,,,,
SL050,34053838005,16500,,,16500,,,,
SL050,34053838006,2200,2200,,,,,,
SL050,34053838017,12700,,,12700,,,,
SL050,34053838018,463,,,,463,,,
SL050,34053838024,25.44,,25.44,,,,,
SL050,34053838048,100,,,100,,,,
SL050,34053838050,360,,,360,,,,
SL050,34063939002,270,,,,270,,,
SL050,34063939012,4500,4500,,,,,,
SL050,34063939021,5960,,20,5940,,,,
SL050,34063939043,1908,,,,,1908,,
SL050,34063939068,1000,1000,,,,,,
SL050,34063939074,5500,5500,,,,,,
SL050,34063939087,42000,42000,,,,,,
SL050,34070505002,2705,,,,2705,,,
SL050,34070505019,11880,,,11880,,,,
SL050,34070505021,580,,,,580,,,
SL050,34070505058,5932,,,,5932,,,
SL050,34070505110,1970,,,,1970,,,
SL050,34070505173,14520,,,14520,,,,
SL050,34070505187,1040,,,,1040,,,
SL050,34070505902,29040,,,29040,,,,
SL050,34070909059,25755,25755,,,,,,
SL050,34070909217,900,,,,900,,,
SL050,34070909227,4074,4074,,,,,,
SL050,34070909339,986,,,,986,,,
SL050,34070909400,1000,,,,1000,,,
SL050,34070909409,130,,,,130,,,
SL050,34070909410,1750,,,,1750,,,
SL050,34072424056,5000,,,,5000,,,
SL050,34072424089,3140,,,,3140,,,
SL050,34072424098,2000,,,,2000,,,
SL050,34072424106,390,,,,390,,,
SL050,34072424212,5500,5500,,,,,,
SL050,34073434017,656,,,,656,,,
SL050,34073434083,408,,,,408,,,
SL050,34073737046,1950,,,,1950,,,
SL050,34073737067,984,,,,984,,,
SL050,34073737274,2006,2006,,,,,,
SL050,34073737352,420,,,,420,,,
SL050,34074040030,495,,,,495,,,
SL050,34074040128,185,,,,185,,,
SL050,34074040181,1250,,,,1250,,,
SL050,34074040194,860,,,,860,,,
SL050,34074040225,14520,,,14520,,,,
SL050,34074242004,16334,,,,,,,16334
SL050,34074242034,19800,,,19800,,,,
SL050,34074242073,25260,,,25260,,,,
SL050,34074242097,1823,,,,1823,,,
SL050,34074242134,31110,,,31110,,,,
SL050,34074242173,4200,,,,,4200,,
SL050,34074242204,1576,,,,1576,,,
SL050,34074242217,100,,,,100,,,
SL050,34074747010,3884,3884,,,,,,
SL050,34074747027,979,979,,,,,,
SL050,34074747055,1888,,,,1888,,,
SL050,34074747114,1040,960,,,80,,,
SL050,34074747121,1250,,,,1250,,,
SL050,34074747155,1884,,,,1884,,,
SL050,34074747186,7108,4400,,,,,,2708
SL050,34074949100,1070,,,,1070,,,
SL050,34074949164,25,,25,,,,,
SL050,34074949210,40,,40,,,,,
SL050,34080202010,36960,,,36960,,,,
SL050,34080202029,10000,10000,,,,,,
SL050,34080202061,76560,,,76560,,,,
SL050,34080202069,3920,3920,,,,,,
SL050,34081313028,23751,23751,,,,,,
SL050,34081313053,999,999,,,,,,
SL050,34081919046,9088,9088,,,,,,
SL050,34081919086,86,,,,86,,,
SL050,34081919190,10000,10000,,,,,,
SL050,34084545028,3120,3120,,,,,,
SL050,34084545051,999,999,,,,,,
SL050,34084545081,960,960,,,,,,
SL050,34084545085,1460,1460,,,,,,
SL050,34084545128,2934,2934,,,,,,
SL050,34084545168,1696,1696,,,,,,
SL050,34090808016,2547,,,,2547,,,
SL050,34090808019,4238.525,4169,69.525,,,,,
SL050,34090808022,220,,,,220,,,
SL050,34090808031,1600,1600,,,,,,
SL050,34090808049,875,,,,875,,,
SL050,34090808053,540,,,,540,,,
SL050,34090808054,4840,4840,,,,,,
SL050,34090808061,450,,,,450,,,
SL050,34090808073,4035,4035,,,,,,
SL050,34090808076,2300,,,,2300,,,
SL050,34090808089,450,,,,,450,,
SL050,34090808092,400,,,,400,,,
SL050,34090808099,560,,,,560,,,
SL050,34090808112,60,,,,60,,,
SL050,34090808113,1568,,,,1568,,,
SL050,34090808114,13805,13805,,,,,,
SL050,34090808117,14640,,,,,,,14640
SL050,34090808121,11250,,,,,,,11250
SL050,34090808127,730,,,,730,,,
SL050,34090808141,627,,,,627,,,
SL050,34090808147,100,,,,100,,,
SL050,34090808150,500,,,,500,,,
SL050,34090808165,24591,24591,,,,,,
SL050,34090808169,9905,9905,,,,,,
SL050,34090808175,2236,,,,2236,,,
SL050,34090808183,100,,,,100,,,
SL050,34090808194,18000,,,,,,,18000
SL050,34090808200,1942,1942,,,,,,
SL050,34090808255,45,,,,45,,,
SL050,34090808263,5390,5390,,,,,,
SL050,34090808265,445,,,,445,,,
SL050,34090808274,260,,,,260,,,
SL050,34090808285,390,,,,390,,,
SL050,34090808291,1904,,,,,1904,,
SL050,34090808298,3,,3,,,,,
SL050,34091717015,6690,6690,,,,,,
SL050,34091717036,250,,,,250,,,
SL050,34091717043,9855,,,,9855,,,
SL050,34091717065,200,,,,200,,,
SL050,34091717079,4800,4800,,,,,,
SL050,34091717091,456,,,,456,,,
SL050,34091717107,15,,,,15,,,
SL050,34091717145,1650,,,,1650,,,
SL050,34091717167,1816,,,,1816,,,
SL050,34091717176,200,,,,200,,,
SL050,34091717185,227,,,,227,,,
SL050,34091717189,472,,,,472,,,
SL050,34091717224,2845,,,,2845,,,
SL050,34091717902,714,714,,,,,,
SL050,34092525011,16521,,,,1881,,,14640
SL050,34092525016,9617,9617,,,,,,
SL050,34092525023,380,,,,380,,,
SL050,34092525044,54,,,,54,,,
SL050,34092525062,10000,,,,10000,,,
SL050,34092525119,617,,,,617,,,
SL050,34092525120,500,500,,,,,,
SL050,34092525121,14950,14950,,,,,,
SL050,34092525137,8520,8520,,,,,,
SL050,34092525171,7500,,,,7500,,,
SL050,34092525172,1100,,,,1100,,,
SL050,34092525189,23400,23400,,,,,,
SL050,34092525227,13500,,,,13500,,,
SL050,34094343005,4800,4800,,,,,,
SL050,34094343095,39160,39160,,,,,,
SL050,34094343104,36630,,,36630,,,,
SL050,34094343109,14558,14558,,,,,,
SL050,34094343115,29850,,,29850,,,,
SL050,34094343161,434,434,,,,,,
SL050,34100303021,5400,5400,,,,,,
SL050,34100303048,998,998,,,,,,
SL050,34100303059,9293,9293,,,,,,
SL050,34100303065,3800,3800,,,,,,
SL050,34100303105,3340,,,,,3340,,
SL050,34101212005,694,694,,,,,,
SL050,34101212009,9125,9125,,,,,,
SL050,34101212040,22580,,,,,,,22580
SL050,34101212082,9600,9600,,,,,,
SL050,34101212084,25781,25781,,,,,,
SL050,34101212095,492,492,,,,,,
SL050,34101212135,8879,8879,,,,,,
SL050,34104646019,1000,1000,,,,,,
SL050,34104646060,8336,8336,,,,,,
SL050,34104646065,4842,4842,,,,,,
SL050,34104646077,4830,2190,,2640,,,,
SL050,34104646139,900,900,,,,,,
SL050,34104646147,1962,1962,,,,,,
SL050,34104646184,6014,6014,,,,,,
SL050,34104646220,1688,1688,,,,,,
SL050,34104646230,895,895,,,,,,
SL050,34104646238,5200,5200,,,,,,
SL050,34104646250,6000,6000,,,,,,
SL050,34104646255,2060,2060,,,,,,
SL050,34104646258,3192,3192,,,,,,
SL050,34110606060,1520,1520,,,,,,
SL050,34110606062,1300,,,,,1300,,
SL050,34110606153,4503,4503,,,,,,
SL050,34121515003,2425,,,,2425,,,
SL050,34121515005,12000,12000,,,,,,
SL050,34121515013,10591,2160,,,8431,,,
SL050,34121515016,6660,,,6660,,,,
SL050,34121515022,33000,,,33000,,,,
SL050,34121515030,500,500,,,,,,
SL050,34121515031,3210,3210,,,,,,
SL050,34121515035,9480,9480,,,,,,
SL050,34121515036,234,234,,,,,,
SL050,34121515044,24000,,,24000,,,,
SL050,34121515045,24600,,,24600,,,,
SL050,34121515054,2060,2060,,,,,,
SL050,34121515055,1000,1000,,,,,,
SL050,34121515059,1005,1005,,,,,,
SL050,34121515061,24420,,,24420,,,,
SL050,34121515067,11880,2640,,9240,,,,
SL050,34121515068,18300,,,18300,,,,
SL050,34121515069,2384,2384,,,,,,
SL050,34121515078,5954,5954,,,,,,
SL050,34121515083,18000,,,18000,,,,
SL050,34122727026,112,,,,112,,,
SL050,34122727031,1520,1520,,,,,,
SL050,34122727033,73540,,,73540,,,,
SL050,34122727039,4643,4643,,,,,,
SL050,34122727063,58500,,,58500,,,,
SL050,34122727064,24600,,,24600,,,,
SL050,34123232001,430,,,,430,,,
SL050,34123232054,6500,6500,,,,,,
SL050,34123232058,5000,,,,5000,,,
SL050,34123636009,4900,,,,4900,,,
SL050,34123636017,1603,1603,,,,,,
SL050,34123636024,4380,4380,,,,,,
SL050,34123636036,655,655,,,,,,
SL050,34123636045,2920,2920,,,,,,
SL050,34123636047,670,670,,,,,,
SL050,34123636051,980,980,,,,,,
SL050,34123636057,1163,1163,,,,,,
SL050,34123636060,800,800,,,,,,
SL050,34123636902,2680,,,,2680,,,
SL050,34132828005,2914,2914,,,,,,
SL050,34132828079,990,990,,,,,,
SL050,34143030008,1235,,,,1235,,,
SL050,34143030016,40830,40830,,,,,,
SL050,34143030024,2516,2516,,,,,,
SL050,34143030028,2747,,,,2747,,,
SL050,34143030029,6660,6660,,,,,,
SL050,34143030030,2054,,,,,2054,,
SL050,34143030039,1264,,,,1264,,,
SL050,34143030041,5280,,,5280,,,,
SL050,34153131025,525,,,,525,,,
SL050,34153131050,720,,,,720,,,
SL050,34153131066,884,,,,884,,,
SL050,34153131082,1900,,,,1900,,,
SL050,34153131084,800,,,,800,,,
SL050,34153131097,277,,,,277,,,
SL050,34153131128,1000,,,,1000,,,
SL050,34153131142,744,,,,744,,,
SL050,34153131149,7210,7210,,,,,,
SL050,34153131159,800,,,,800,,,
SL050,34153131206,1120,,,,1120,,,
SL050,34153131216,19140,,,19140,,,,
SL050,34153131232,999,999,,,,,,
SL050,34153131238,26400,,,26400,,,,
SL050,34153131251,9820,3620,,,6200,,,
SL050,34160101006,89,,,,89,,,
SL050,34160101014,7276,7276,,,,,,
SL050,34160101022,1984,,,,1984,,,
SL050,34160101028,4698,,,,4698,,,
SL050,34160101036,6.6,,6.6,,,,,
SL050,34160101049,7170,7170,,,,,,
SL050,34160101059,1204.5,1200,4.5,,,,,
SL050,34160101902,17,,,,17,,,
SL050,34162020003,125,,,,125,,,
SL050,34162020009,1008,,,,1008,,,
SL050,34162020010,280,,,,280,,,
SL050,34162020018,367,,,,367,,,
SL050,34162020022,2331,,,,2331,,,
SL050,34162020027,110,,,,110,,,
SL050,34162020031,221,,,,221,,,
SL050,34162020032,1688,,,,1688,,,
SL050,34162020036,950,950,,,,,,
SL050,34162020040,379,,,,379,,,
SL050,34162020045,1824,,,,1824,,,
SL050,34162020063,2035,,,,2035,,,
SL050,34162020067,1712,,,,1712,,,
SL050,34162020069,2733,525,,,,2208,,
SL050,34162020071,385,,,,385,,,
SL050,34162020074,1082,922,,,160,,,
SL050,34162020078,2420,,,,2420,,,
SL050,34164848013,346,346,,,,,,
SL050,34164848017,7295,7295,,,,,,
SL050,34164848020,726,726,,,,,,
SL050,34164848024,2588,,,,2588,,,
SL050,34164848026,337,,,,337,,,
SL050,34164848036,4280,4280,,,,,,
SL050,34164848040,1960,1960,,,,,,
SL050,34164848045,1320,970,,,350,,,
SL050,34164848071,11200,11200,,,,,,
SL050,34164848091,4800,4800,,,,,,
SL050,34164848096,400,,,,400,,,
SL050,34164848903,1670,1670,,,,,,
SL050,34164848912,441,,,,441,,,
SL050,34172626021,24420,,,24420,,,,
SL050,34172626036,4352,4352,,,,,,
SL050,34172626084,5103,5103,,,,,,
SL050,34172626130,103.92,,,,103.92,,,
