SUMLEV,Geo,AENA_V1,AENA_V2,AENA_V3,AENA_V4,AENA_V5,AENA_V6,AENA_V7,AENA_V8,AENA_V9,AENA_V10,AENA_V11,AENA_V12,AENA_V13
SL050,34121515030,436775,104792,104964,44475,560,851,2595,28020,39369,34378,30334,19984,26453
SL050,34132828078,17112389,4663407,4396631,1975303,46743,81263,194734,990899,1356383,985077,736113,697692,988144
SL050,34143030029,217912,67570,40508,19150,22,101,59,28623,29470,17164,10966,1966,2313
SL050,34080202002,2204,174,147,16,2,22,420,468,2,190,95,318,350
SL050,34011111003,23516,3266,3220,1679,449,419,1468,2803,2181,2486,2355,1431,1759
SL050,34100303064,3739499,743713,847526,473098,2378,3546,28739,422857,480710,256993,241178,112618,126143
SL050,34010404012,200302,31846,39345,20775,234,480,1005,22858,26461,19158,16474,9569,12097
SL050,34033333015,498950,92699,95333,40699,210,210,2947,53139,81804,58605,37518,10458,25328
SL050,34110606014,29988,7189,6501,3182,0,4,545,2982,2460,1736,1816,1574,1999
SL050,34090808168,12739259,3396470,3280937,1417647,25307,46962,148903,872924,1110578,844414,712283,341502,541332
SL050,34164848902,1690011,350837,371193,173095,1415,1996,11594,150866,219507,161337,134508,40877,72786
SL050,34070909058,23528,1699,3025,1684,122,273,2930,3204,3254,2701,2102,2151,383
SL050,34025050902,41217,6038,5899,3206,487,481,1729,4654,3918,4264,4273,2804,3464
SL050,34011414020,7882,1006,1222,568,91,146,584,699,806,888,850,674,348
SL050,34053838047,178526,21471,19197,9855,746,1832,8363,21318,27888,18037,18460,16222,15137
SL050,34011818057,390218,91620,92237,40942,371,487,1637,29561,42935,36274,24824,9280,20050
SL050,34053535016,2144178,419214,466630,253725,3026,6485,31459,179386,262163,140052,122662,121752,137624
SL050,34091717232,172213,36129,35090,12753,71,97,756,35613,37565,8603,3497,947,1092
SL050,34053535025,5134372,1166742,1123522,586343,15650,30917,106541,381636,469560,295825,303575,305070,348991
SL050,34022222014,1709,1,79,0,5,3,279,474,12,344,164,114,234
SL050,34040707025,2110348,181608,191893,99738,2823,7809,49673,426287,574974,275016,150528,67469,82530
SL050,34011111019,216319,40599,42836,24833,157,53,1555,26358,31758,17413,12952,6983,10822
SL050,34053838002,54388,5060,4847,2458,0,0,1586,6082,11416,7161,5799,5177,4802
SL050,34053838052,721337,120835,117682,61763,2205,5030,25717,70020,88617,61500,57180,56175,54613
SL050,34053535017,2538338,528733,542349,302605,3142,8288,40966,194355,277430,164226,167701,144876,163667
SL050,34072424188,18600,2676,5291,2605,16,28,196,1526,2741,844,684,659,1334
SL050,34172626001,4389,625,754,414,14,80,190,504,424,349,376,345,314
SL050,34132828999,1872,270,265,131,1,6,100,257,216,203,227,118,78
SL050,34012929066,5161636,1042347,1126766,613438,5254,6995,52265,575724,677874,366312,329337,157089,208235
SL050,34185151001,195636,33033,32500,15630,252,253,2787,19309,20722,19103,18798,12926,20323
SL050,34040707031,1076952,75382,89068,47750,1503,4153,24459,207880,321312,168850,67191,30531,38873
SL050,34040707039,6108486,820661,917291,517154,8955,22764,127555,1102854,1240113,513068,395906,198580,243585
SL050,34153131087,84059,19973,20710,9247,3,49,326,4048,4470,8218,6581,4367,6067
SL050,34094343122,39460,1669,2946,1301,163,226,429,14513,9680,4774,2983,380,396
SL050,34090808185,3439,252,354,95,0,79,255,513,494,395,368,265,369
SL050,34073737174,2350,245,155,191,120,138,207,262,251,171,226,162,222
SL050,34162020035,83869,20063,22271,8853,0,3,232,3939,7848,4550,6703,3851,5556
SL050,34121515077,935394,179454,175669,77934,829,139,10750,86177,147639,94965,73503,34707,53628
SL050,34063939015,335280,83192,77086,32350,18,16,915,33502,44782,28256,18105,6656,10402
SL050,34014141090,2315610,546798,564265,257189,2085,5269,23583,185957,255943,177864,157900,50919,87838
SL050,34040707039,3281,133,139,100,0,1,66,569,794,493,421,336,229
SL050,34053838022,2795952,443657,438311,208444,9253,21693,99703,291623,375923,277608,249498,189058,191181
SL050,34053838016,3392329,949286,923749,478282,4709,5853,13110,180387,231983,134737,137960,151486,180787
SL050,34104646158,2487496,561235,553384,236549,1253,1387,24988,264319,338430,187892,152645,71816,93598
SL050,34074747216,71685,12756,14746,6639,38,97,882,7650,11560,7083,5386,1785,3063
SL050,34123636056,303466,64055,65825,28811,302,521,1714,21686,34916,26139,23092,15203,21202
SL050,34160101058,45359,7526,6768,1741,26,119,1677,6053,9878,4208,3782,1544,2037
SL050,34025050296,172344,34155,33464,14419,4,47,607,22490,32539,17159,8470,2606,6384
