SUMLEV,Geo,AENA_V14,AENA_V15,AENA_V16,AENA_V17,AENA_V18,AENA_V19,AENA_V20,AENA_V21,AENA_V22,AENA_V23,AENA_V24,AENA_V25,AENA_V26
SL050,34121515030,11190,1326,1397,806,104,299,612,1156,1245,1311,1126,1047,761
SL050,34132828078,165740,33293,31477,19837,2511,2995,3747,10708,15182,12412,11386,10001,12191
SL050,34143030029,2812,585,346,191,18,64,44,355,515,346,192,76,80
SL050,34080202002,284,58,50,8,2,16,19,17,4,28,12,28,42
SL050,34011111003,2596,324,304,186,132,120,164,272,216,246,262,194,176
SL050,34100303064,37153,5409,5947,4402,208,234,537,4309,5810,3862,3025,1602,1808
SL050,34010404012,5887,619,791,472,76,99,167,610,662,651,656,592,492
SL050,34033333015,6196,946,894,549,35,27,91,740,956,689,554,281,434
SL050,34110606014,1642,264,235,127,0,2,95,240,224,144,113,104,94
SL050,34090808168,122638,23445,22992,13846,1499,1777,2753,10369,14045,10497,8939,5324,7152
SL050,34164848902,20496,3429,3501,2304,248,364,386,1955,2447,2066,1659,972,1165
SL050,34070909058,11318,528,1051,453,40,124,1587,1833,1764,1339,975,1221,403
SL050,34025050902,4876,680,602,405,146,144,255,521,407,453,525,370,368
SL050,34011414020,8307,897,1253,485,60,200,629,755,799,799,949,724,757
SL050,34053838047,4184,464,420,300,86,102,208,410,568,442,398,404,382
SL050,34011818057,7832,1037,1090,687,61,95,290,875,864,862,802,593,576
SL050,34053535016,24609,3635,3690,2582,224,284,592,2271,3115,2226,1959,1900,2131
SL050,34091717232,9991,921,1274,515,70,96,334,1265,1685,1186,1060,866,719
SL050,34053535025,67282,10584,9826,7034,1014,1473,2382,6046,7088,5685,5276,5127,5747
SL050,34022222014,2433,467,573,324,11,30,138,125,182,218,186,96,83
SL050,34040707025,33185,2253,2206,1558,303,396,1138,6587,8368,4595,2749,1431,1601
SL050,34011111019,37024,3450,4858,2253,66,322,2661,5088,4863,4326,4298,3154,1685
SL050,34053838002,2159,166,144,122,4,38,171,288,327,342,191,194,172
SL050,34053838052,13693,1875,1828,1113,160,204,482,1207,1954,1337,1149,1163,1221
SL050,34053535017,30056,4518,4378,3125,224,360,796,2691,3693,2724,2504,2325,2718
SL050,34072424188,1890,70,177,88,4,42,79,335,316,322,186,120,151
SL050,34172626001,912,68,82,72,8,26,114,120,118,115,105,56,28
SL050,34132828999,44468,3315,4632,1765,299,580,4693,5651,5268,5380,5190,4324,3371
SL050,34012929066,59668,8432,8457,6288,580,557,1571,6939,8932,6232,5044,3164,3472
SL050,34185151001,5158,730,698,457,110,112,166,510,517,475,487,417,479
SL050,34040707031,14570,1099,1116,789,242,294,514,2496,3493,1940,1134,673,780
SL050,34040707039,76851,7660,7950,5872,723,1009,2286,12478,15562,8972,6584,3478,4277
SL050,34153131087,3538,424,509,221,28,95,120,375,288,375,391,378,334
SL050,34094343122,12503,1164,1103,368,54,336,1256,1948,1532,1497,1350,1201,694
SL050,34090808185,40650,3735,4066,1634,238,720,4163,5288,4211,4407,4437,4105,3646
SL050,34073737174,7460,466,881,345,66,110,131,1200,1313,973,805,788,382
SL050,34162020035,2321,399,393,245,6,5,34,233,268,190,212,203,133
SL050,34121515077,10949,1427,1380,830,72,109,275,1247,1794,1343,961,768,743
SL050,34063939015,5943,793,723,427,54,162,278,823,753,686,504,445,295
SL050,34014141090,33633,4728,4762,3238,579,692,1589,3457,4043,3376,3111,2037,2021
SL050,34040707039,9847,946,992,290,7,119,942,1426,1338,1134,979,1019,655
SL050,34053838022,46100,5994,5578,3709,879,992,1980,4456,5948,4747,4178,3739,3900
SL050,34053838016,29925,5982,5774,4164,223,227,446,2112,2645,1966,1943,1875,2568
SL050,34104646158,35900,5474,5442,3322,500,761,1431,3820,4783,3361,2737,2052,2217
SL050,34074747216,2843,193,360,182,18,32,66,520,510,381,233,210,138
SL050,34123636056,5597,795,835,512,54,63,123,649,629,575,477,453,432
SL050,34160101058,10317,799,842,702,551,588,808,1026,962,1010,1084,1028,917
SL050,34025050296,6559,690,701,426,112,190,297,665,756,833,782,584,523
